Record_ID,transaction_date,house_age,distance_to_nearest_station,number_of_stores_nearby,house_price
1,2012.917,32,84.87882,10,37.9
2,2012.917,19.5,306.5947,9,42.2
3,2013.583,13.3,561.9845,5,47.3
4,2013.500,13.3,561.9845,5,54.8
5,2012.833,5,390.5684,5,43.1
6,2012.667,7.1,2175.03,3,32.1
7,2012.667,34.5,623.4731,7,40.3
8,2013.417,20.3,287.6025,6,46.7
9,2013.500,31.7,5512.038,1,18.8
10,2013.417,17.9,1783.18,3,22.1
11,2013.083,34.8,405.2134,1,41.4
12,2013.333,6.3,90.45606,9,58.1
13,2012.917,13,492.2313,5,39.3
14,2012.667,20.4,2469.645,4,23.8
15,2013.500,13.2,1164.838,4,34.3
16,2013.583,35.7,579.2083,2,50.5
17,2013.250,0,292.9978,6,70.1
18,2012.750,17.7,350.8515,1,37.4
19,2013.417,16.9,368.1363,8,42.3
20,2012.667,1.5,23.38284,7,47.7
21,2013.417,4.5,2275.877,3,29.3
22,2013.417,10.5,279.1726,7,51.6
23,2012.917,14.7,1360.139,1,24.6
24,2013.083,10.1,279.1726,7,47.9
25,2013.000,39.6,480.6977,4,38.8
26,2013.083,29.3,1487.868,2,27
27,2012.667,3.1,383.8624,5,56.2
28,2013.250,10.4,276.449,5,33.6
29,2013.500,19.2,557.478,4,47
30,2013.083,7.1,451.2438,5,57.1
31,2013.500,25.9,4519.69,0,22.1
32,2012.750,29.6,769.4034,7,25
33,2012.750,37.9,488.5727,1,34.2
34,2013.250,16.5,323.655,6,49.3
35,2012.750,15.4,205.367,7,55.1
36,2013.500,13.9,4079.418,0,27.3
37,2012.917,14.7,1935.009,2,22.9
38,2013.167,12,1360.139,1,25.3
39,2012.667,3.1,577.9615,6,47.7
40,2013.167,16.2,289.3248,5,46.2
41,2013.000,13.6,4082.015,0,15.9
42,2013.500,16.8,4066.587,0,18.2
43,2013.417,36.1,519.4617,5,34.7
44,2012.750,34.4,512.7871,6,34.1
45,2013.583,2.7,533.4762,4,53.9
46,2013.083,36.6,488.8193,8,38.3
47,2013.417,21.7,463.9623,9,42
48,2013.583,35.9,640.7391,3,61.5
49,2013.417,24.2,4605.749,0,13.4
50,2012.667,29.4,4510.359,1,13.2
51,2013.417,21.7,512.5487,4,44.2
52,2013.083,31.3,1758.406,1,20.7
53,2013.583,32.1,1438.579,3,27
54,2013.083,13.3,492.2313,5,38.9
55,2013.083,16.1,289.3248,5,51.7
56,2012.833,31.7,1160.632,0,13.7
57,2013.417,33.6,371.2495,8,41.9
58,2012.917,3.5,56.47425,7,53.5
59,2013.500,30.3,4510.359,1,22.6
60,2013.083,13.3,336.0532,5,42.4
61,2013.417,11,1931.207,2,21.3
62,2013.500,5.3,259.6607,6,63.2
63,2012.917,17.2,2175.877,3,27.7
64,2013.583,2.6,533.4762,4,55
65,2013.333,17.5,995.7554,0,25.3
66,2013.417,40.1,123.7429,8,44.3
67,2013.000,1,193.5845,6,50.7
